edge_id,attribute_name,source_stem_id,target_stem_id,directed,weight
edge-main-timeline-0,date,55,132,true,1
edge-main-timeline-1,date,132,138,true,1
edge-main-timeline-2,date,138,237,true,1
edge-main-timeline-3,date,237,299,true,1
edge-main-timeline-4,date,299,333,true,1
edge-main-timeline-5,date,333,403,true,1
edge-main-timeline-6,date,403,453,true,1
edge-main-timeline-7,date,453,526,true,1
edge-main-timeline-8,date,526,553,true,1
edge-main-timeline-9,date,553,594,true,1
edge-main-timeline-10,date,594,646,true,1
edge-main-timeline-11,date,646,705,true,1
edge-main-timeline-12,date,705,1139,true,1
edge-main-timeline-13,date,1139,1291,true,1
edge-main-timeline-14,date,1291,1363,true,1
edge-main-timeline-15,date,1363,1380,true,1
edge-main-timeline-16,date,1380,1388,true,1
edge-main-timeline-17,date,1388,1394,true,1
edge-main-timeline-18,date,1394,1404,true,1
edge-main-timeline-19,date,1404,1491,true,1
edge-main-timeline-20,date,1491,1715,true,1
edge-main-timeline-21,date,1715,1760,true,1
edge-main-timeline-22,date,1760,1808,true,1
edge-main-timeline-23,date,1808,1887,true,1
edge-main-timeline-24,date,1887,2252,true,1
edge-main-timeline-25,date,2252,2291,true,1
edge-main-timeline-26,date,2291,2310,true,1
edge-main-timeline-27,date,2310,2376,true,1
edge-main-timeline-28,date,2376,2388,true,1
edge-main-timeline-29,date,2388,2737,true,1
edge-main-timeline-30,date,2737,2754,true,1
edge-main-timeline-31,date,2754,2878,true,1
edge-main-timeline-32,date,2878,3119,true,1
edge-main-timeline-33,date,3119,3395,true,1
edge-main-timeline-34,date,3395,3405,true,1
edge-main-timeline-35,date,3405,3505,true,1
edge-main-timeline-36,date,3505,3546,true,1
edge-main-timeline-37,date,3546,3827,true,1
edge-main-timeline-38,date,3827,3923,true,1
edge-main-timeline-39,date,3923,3950,true,1
edge-main-timeline-40,date,3950,3970,true,1
edge-main-timeline-41,date,3970,4075,true,1
edge-main-timeline-42,date,4075,4111,true,1
edge-main-timeline-43,date,4111,4386,true,1
edge-main-timeline-44,date,4386,4389,true,1
edge-main-timeline-45,date,4389,4414,true,1
edge-main-timeline-46,date,4414,4665,true,1
edge-main-timeline-47,date,4665,4697,true,1
edge-main-timeline-48,date,4697,4832,true,1
edge-main-timeline-49,date,4832,4904,true,1
edge-main-timeline-50,date,4904,4953,true,1
edge-main-timeline-51,date,4953,4956,true,1
edge-main-timeline-52,date,4956,5010,true,1
edge-main-timeline-53,date,5010,5031,true,1
edge-main-timeline-54,date,5031,5043,true,1
edge-main-timeline-55,date,5043,5184,true,1
edge-main-timeline-56,date,5184,5206,true,1
edge-main-timeline-57,date,5206,5216,true,1
edge-main-timeline-58,date,5216,5807,true,1
edge-main-timeline-59,date,5807,5885,true,1
edge-main-timeline-60,date,5885,5940,true,1
edge-main-timeline-61,date,5940,5956,true,1
edge-main-timeline-62,date,5956,6194,true,1
